epoch,steps,loss,loss_full,loss_consist,loss_drop,loss_sparse,loss_tv
1,14015,0.20005342627540257,0.19060711695085328,0.009381940511121411,9.606568780044892e-05,0.01617377534790461,0.001633175066697185
2,14015,0.18912318165490788,0.17810646963747342,0.011014409871692854,4.6026957418358925e-06,2.572885101453092e-06,2.3593125340558355e-06
3,14015,0.18266250258986116,0.17018894006684557,0.012471925372010627,3.2742879553815957e-06,2.022775234285738e-07,2.4001825769650183e-07
1,9344,0.2001111236112256,0.19091809254254483,0.009148866572216582,6.766416207601775e-05,0.010223249770854025,0.0011047810931651763
2,9344,0.18944333072102706,0.17858947535150696,0.010851645115919432,4.420413311542178e-06,1.099051587516442e-06,1.0063165176041067e-06
3,9344,0.18317772347873956,0.1709701556170978,0.012205712863922673,3.709987614045481e-06,7.839117979404376e-08,9.398726969303512e-08
4,9344,0.1757590807300565,0.16106651215702422,0.014690988227239235,3.1607528835094905e-06,3.644712805534292e-08,4.611313807513335e-08
5,9344,0.16622293405657418,0.14772879780802,0.018491986971913656,4.298807861643631e-06,2.6598976147983046e-08,3.428412539555934e-08
6,9344,0.1550641971092499,0.13176457951469697,0.02329606926536119,7.096655846521883e-06,2.2459585436504997e-08,2.9195919909996095e-08
7,9344,0.14334149497113835,0.11514883394148169,0.028188003272165814,9.31549624361302e-06,2.0200300926648795e-08,2.6349868040933746e-08
8,9344,0.132154098723071,0.10002297647907367,0.032125721111809336,1.0802399425015148e-05,1.8940934203110622e-08,2.47840919294267e-08
9,9344,0.12215291786490787,0.08692853094544262,0.0352192884560755,1.019692847195722e-05,1.8222863218397833e-08,2.387934404246713e-08
10,9344,0.11301585278702639,0.07544569245151687,0.03756600122466047,8.318156255336985e-06,1.7724120618667047e-08,2.3242622998236895e-08
11,9344,0.10493730199321935,0.06574635434351453,0.03918716885717203,7.557554647363547e-06,1.741804761914951e-08,2.284595871994859e-08
12,9344,0.09795793410082035,0.057920906375603744,0.04003244892884726,9.157493649712556e-06,1.7241540238140023e-08,2.261097269843983e-08
13,9344,0.09190426506183814,0.051355496626892504,0.04054407110481706,9.394623144370667e-06,1.728918280991509e-08,2.265200586008763e-08
14,9344,0.08629626963222906,0.04533299239935257,0.04095849484006004,9.564849019434623e-06,1.724538690237526e-08,2.2580791179055653e-08
15,9344,0.08194482358252671,0.041149396260831576,0.040789358416625635,1.2137788982555432e-05,1.729260898858615e-08,2.262759900911813e-08
16,9344,0.07806054401551168,0.03750538502761516,0.040550438011724844,9.442093072170512e-06,1.7359544060987178e-08,2.2692877056925518e-08
