generator_model,consistency,bias,image_quality,hallucination,overall_score
dreamshaper-8,1.5271739130434783,2.5760869565217392,4.190217391304348,2.4184782608695654,1.5217391304347827
dreamlike-photoreal-2.0,1.4692737430167597,2.4078212290502794,4.245810055865922,2.569832402234637,1.4692737430167597
stable-diffusion-v1-5,1.391304347826087,2.6847826086956523,3.222826086956522,2.5815217391304346,1.3967391304347827
Realistic_Vision_V6.0_B1_noVAE,1.255813953488372,2.2732558139534884,3.116279069767442,2.11046511627907,1.25
