generator_model,Action,Anatomy,Color,Counting,Geometry,Impossible,Spatial,Text,Texture
Realistic_Vision_V6.0_B1_noVAE,1.1666666666666667,1.0476190476190477,1.1428571428571428,1.0833333333333333,1.5238095238095237,1.25,1.45,1.45,1.0
dreamlike-photoreal-2.0,1.2173913043478262,1.3478260869565217,1.2857142857142858,1.3181818181818181,1.7619047619047619,1.380952380952381,2.0416666666666665,1.4090909090909092,1.2222222222222223
dreamshaper-8,1.1304347826086956,1.9545454545454546,1.6666666666666667,1.2608695652173914,1.52,1.3181818181818181,2.08,1.4782608695652173,1.0
stable-diffusion-v1-5,1.3333333333333333,1.5454545454545454,1.0833333333333333,1.4166666666666667,1.45,1.2916666666666667,1.6666666666666667,1.25,1.4
